"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5301","Validate creation of user, add to cart and order history","chromium","Wed May 27 03:25:24 UTC 2026","failed","Wed May 27 03:25:30 UTC 2026","","user-cart-order.spec.ts","",""
"","5768","Validate creation of user, add to cart and order history","webkit","Wed May 27 03:26:12 UTC 2026","failed","Wed May 27 03:26:18 UTC 2026","","user-cart-order.spec.ts","",""
"","6461","Validate creation of user, add to cart and order history","firefox","Wed May 27 03:25:46 UTC 2026","failed","Wed May 27 03:25:52 UTC 2026","","user-cart-order.spec.ts","",""
